collecting_method,guid,othercatalognumbers,accn_number,scientific_name,collectors,preparators,country,state_prov,county,spec_locality,verbatim_date,parts,dec_lat,dec_long,coordinateuncertaintyinmeters,age,sex
,MVZ:Bird:179454,collector number=7039,13473,Pipilo maculatus ssp.,Ned K. Johnson,,United States,California,Lassen County,4.5 mi W Shinn Peaks,27-May-00,"skin, study; tissue",40.69176,-120.29839,6511,adult skull,37.40; male; testis 10 x 7 mm; medium cloacal protuberance; adult skull; no fat; irides red-orange
,MVZ:Bird:179455,collector number=1948,13475,Sitta carolinensis aculeata,Carla Cicero,,United States,California,Yuba County,"University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",8-Apr-00,"skin, study; tissue",39.27833333,-121.2983333,499,adult skull,male
,MVZ:Bird:179456,collector number=1951,13475,Phainopepla nitens lepida,Carla Cicero,,United States,California,Yuba County,"University of California Sierra Foothill Range Field Station, 3.5 mi N and 0.5 mi W Smartville",9-Apr-00,"skin, study; tissue; tissue sample; tissue sample",39.2584115,-121.3068958,2066,adult skull,female
,MVZ:Bird:179457,collector number=1940,13475,Leiothlypis celata lutescens,Carla Cicero,,United States,California,Yuba County,"University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",7-Apr-00,"skin, study; tissue; tissue sample",39.27833333,-121.2983333,499,adult skull,7.90; male; testis 5 x 4 mm; adult skull; no fat; no molt
,MVZ:Bird:179458,collector number=1941,13475,Leiothlypis celata lutescens,Carla Cicero,,United States,California,Yuba County,"University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",7-Apr-00,"skin, study; tissue; tissue sample",39.27833333,-121.2983333,499,adult skull,8.00; male; testis 5 x 4 mm; adult skull; no fat; no molt
,MVZ:Bird:179459,collector number=1931,13475,Pipilo maculatus ssp.,Carla Cicero,,United States,California,Yuba County,"University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",6-Apr-00,"skin, study; tissue",39.27833333,-121.2983333,499,adult skull; adult wings and tail,39.90; male; testis 13 x 7 mm; large cloacal protuberance; adult skull; adult wings and tail; no fat; irides red
,MVZ:Bird:179460,collector number=1932,13475,Pipilo maculatus ssp.,Carla Cicero,,United States,California,Yuba County,"University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",7-Apr-00,"skin, study; tissue",39.27833333,-121.2983333,499,adult skull; adult wings and tail,38.80; male; testis 11 x 6 mm; large cloacal protuberance; adult skull; adult wings and tail; no fat; irides red
,MVZ:Bird:179461,collector number=1933,13475,Pipilo maculatus ssp.,Carla Cicero,,United States,California,Yuba County,"University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",7-Apr-00,"skin, study; tissue",39.27833333,-121.2983333,499,adult skull; adult wings and tail,36.00; male; testis 11 x 7 mm; medium cloacal protuberance; adult skull; adult wings and tail; no fat; irides red-orange
,MVZ:Bird:179462,collector number=1934,13475,Pipilo maculatus ssp.,Carla Cicero,,United States,California,Yuba County,"University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",7-Apr-00,"skin, study; tissue",39.27833333,-121.2983333,499,adult skull; adult wings and tail,37.00; male; testis 9 x 6 mm; medium cloacal protuberance; adult skull; adult wings and tail; no fat; irides red
,MVZ:Bird:179463,collector number=1935,13475,Pipilo maculatus ssp.,Carla Cicero,,United States,California,Yuba County,"University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",7-Apr-00,"skin, study; tissue",39.27833333,-121.2983333,499,adult skull; adult wings and tail,40.10; male; testis 12 x 7 mm; large cloacal protuberance; adult skull; adult wings and tail; no fat; irides red
,MVZ:Bird:179464,collector number=1936,13475,Pipilo maculatus ssp.,Carla Cicero,,United States,California,Yuba County,"University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",7-Apr-00,"skin, study; tissue",39.27833333,-121.2983333,499,adult skull; adult wings and tail,male
,MVZ:Bird:179465,collector number=1937,13475,Pipilo maculatus ssp.,Carla Cicero,,United States,California,Yuba County,"University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",7-Apr-00,"skin, study; tissue",39.27833333,-121.2983333,499,adult skull; adult wings and tail,40.70; male; testis 10 x 7 mm; medium cloacal protuberance; adult skull; adult wings and tail; no fat; irides red
,MVZ:Bird:179466,collector number=1938,13475,Pipilo maculatus ssp.,Carla Cicero,,United States,California,Yuba County,"University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",7-Apr-00,"skin, study; tissue",39.27833333,-121.2983333,499,adult skull; first year? tail,41.50; male; testis 10 x 7 mm; medium cloacal protuberance; adult skull; first year? tail; no fat; irides red-orange
,MVZ:Bird:179467,collector number=1939,13475,Pipilo maculatus ssp.,Carla Cicero,,United States,California,Yuba County,"University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",7-Apr-00,"skin, study; tissue",39.27833333,-121.2983333,499,adult skull; adult wings and tail,42.70; male; testis 11 x 8 mm; large cloacal protuberance; adult skull; adult wings and tail; no fat; irides red
,MVZ:Bird:179468,collector number=1942,13475,Pipilo maculatus ssp.,Carla Cicero,,United States,California,Yuba County,"University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",8-Apr-00,"skin, study; tissue",39.27833333,-121.2983333,499,adult skull; first year wings and tail,39.50; male; testis 7 x 5 mm; medium cloacal protuberance; adult skull; first year wings and tail; no fat; irides orange
,MVZ:Bird:179469,collector number=1943,13475,Pipilo maculatus ssp.,Carla Cicero,,United States,California,Yuba County,"University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",8-Apr-00,"skin, study; tissue",39.27833333,-121.2983333,499,adult skull; adult wings and tail,38.00; male; testis 10 x 7 mm; medium cloacal protuberance; adult skull; adult wings and tail; no fat; irides red
,MVZ:Bird:179470,collector number=1944,13475,Pipilo maculatus ssp.,Carla Cicero,,United States,California,Yuba County,"University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",8-Apr-00,"skin, study; tissue",39.27833333,-121.2983333,499,adult skull; adult wings and tail,37.50; male; testis 12 x 7 mm; large cloacal protuberance; adult skull; adult wings and tail; no fat; irides red
,MVZ:Bird:179471,collector number=1945,13475,Pipilo maculatus ssp.,Carla Cicero,,United States,California,Yuba County,"University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",8-Apr-00,"skin, study; tissue",39.27833333,-121.2983333,499,adult skull; adult? wings and tail,37.70; male; testis 11 x 8 mm; large cloacal protuberance; adult skull; adult? wings and tail; no fat; irides red-orange
,MVZ:Bird:179472,collector number=1946,13475,Pipilo maculatus ssp.,Carla Cicero,,United States,California,Yuba County,"University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",8-Apr-00,"skin, study; tissue",39.27833333,-121.2983333,499,adult skull; adult wings and tail,38.00; male; gonads shot; medium cloacal protuberance; adult skull; adult wings and tail; no fat; irides red-orange
,MVZ:Bird:179473,collector number=1947,13475,Pipilo maculatus ssp.,Carla Cicero,,United States,California,Yuba County,"University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",8-Apr-00,"skin, study; tissue",39.27833333,-121.2983333,499,adult skull; first year wings and tail,40.20; male; testis 9 x 6 mm; medium cloacal protuberance; adult skull; first year wings and tail; no fat; irides pale orange
,MVZ:Bird:179474,collector number=1950,13475,Aimophila ruficeps ruficeps,Carla Cicero,,United States,California,Yuba County,"University of California Sierra Foothill Range Field Station, 3.5 mi N and 0.5 mi W Smartville",9-Apr-00,"skin, study; tissue",39.2584115,-121.3068958,2066,adult skull,male
,MVZ:Bird:179475,collector number=1949,13475,Chondestes grammacus strigatus,Carla Cicero,,United States,California,Yuba County,"University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",6-Apr-00,"skin, study; tissue; tissue sample",39.27833333,-121.2983333,499,adult skull,male
,MVZ:Bird:179476,collector number=1981,13476,Vireo gilvus swainsoni,Carla Cicero,,United States,California,Monterey County,"Arnold Cabin Rd., Hastings Natural History Reservation",29-Apr-00,"skin, study; tissue",36.371327,-121.5645284,1746,adult skull,male
,MVZ:Bird:179477,collector number=1980,13476,Leiothlypis celata lutescens,Carla Cicero,,United States,California,Monterey County,"Arnold Cabin Rd., Hastings Natural History Reservation",29-Apr-00,"skin, study; tissue; tissue sample; tissue sample",36.371327,-121.5645284,1746,adult skull,9.50; male; testis 4 x 3 mm; adult skull; no fat; no molt
,MVZ:Bird:179478,collector number=1977,13476,Pheucticus melanocephalus maculatus,Carla Cicero,,United States,California,Monterey County,"Robertson Creek, Hastings Natural History Reservation",28-Apr-00,"skin, study; tissue",36.375,-121.5566667,503,adult skull,45.50; male; testis 12 x 10 mm; adult skull; no fat; no molt
,MVZ:Bird:179479,collector number=1978,13476,Pheucticus melanocephalus maculatus,Carla Cicero,,United States,California,Monterey County,"Robertson Creek, Hastings Natural History Reservation",29-Apr-00,"skin, study; tissue",36.375,-121.5566667,503,adult skull,40.00; male; testis 12 x 9 mm; adult skull; no fat; no molt
,MVZ:Bird:179480,collector number=1979,13476,Pheucticus melanocephalus maculatus,Carla Cicero,,United States,California,Monterey County,"Robertson Creek, Hastings Natural History Reservation",29-Apr-00,"skin, study; tissue",36.375,-121.5566667,503,adult skull,female
,MVZ:Bird:179694,collector number=2054,13493,Sturnus vulgaris vulgaris,Carla Cicero,,United States,California,Alameda County,"Clark Kerr campus, University of California, Berkeley",27-Apr-00,whole organism; tissue,37.8647874,-122.2463445,378,nestling,unknown
,MVZ:Bird:179724,collector number=2083,13503,Euphagus cyanocephalus,Carla Cicero,,United States,California,Alameda County,Livermore,19-Jul-00,skeleton; tissue,37.6822,-121.76624,7599,large skull windows,male
,MVZ:Bird:179726,collector number=2084,13504,Setophaga townsendi,Carla Cicero,,United States,California,Alameda County,"Montclair, Oakland",28-Aug-00,skeleton; tissue,37.83183,-122.20748,1621,large skull windows,unknown
,MVZ:Bird:179727,collector number=2085,13505,Psaltriparus minimus minimus,"Carla Cicero, Paula A. White",,United States,California,Alameda County,"3455 Dwight Way, Berkeley",7-Mar-00,skeleton; tissue,37.86841,-122.24209,10,adult skull,unknown
,MVZ:Bird:179728,collector number=2086,13506,Spinus tristis salicamans,Carla Cicero; Yair Chaver,,United States,California,Alameda County,"Grizzley Peak Blvd., 1 mi S of steam train, Tilden Park, Berkeley",1-Aug-00,skeleton; tissue; tissue sample,37.86848,-122.21534,1782,adult skull,male
,MVZ:Bird:179783,collector number=2152,13522,Cyanocitta stelleri frontalis,Carla Cicero,,United States,California,Plumas County,"52 South Padre Lane, town of Meadow Valley",28-Oct-00,"skin, study; tissue",39.94295,-121.052041,32,adult skull; first year? wings and tail,female
,MVZ:Bird:179784,collector number=2153,13522,Cyanocitta stelleri frontalis,Carla Cicero,,United States,California,Plumas County,"52 South Padre Lane, town of Meadow Valley",29-Oct-00,"skin, study; tissue",39.94295,-121.052041,32,adult skull; adult wings and tail,male
,MVZ:Bird:179785,collector number=2150,13522,Cyanocitta stelleri frontalis,Carla Cicero,,United States,California,Plumas County,"Deanes Valley Rd., 1 mi S and 1 mi E town of Meadow Valley",27-Oct-00,"skin, study; tissue",39.925,-121.0433333,265,adult skull; adult wings and tail,male
,MVZ:Bird:179786,collector number=2151,13522,Cyanocitta stelleri frontalis,Carla Cicero,,United States,California,Plumas County,"Deanes Valley Rd., 1 mi S and 1 mi E town of Meadow Valley",27-Oct-00,"skin, study; tissue",39.925,-121.0433333,265,adult skull; adult wings and tail,male
,MVZ:Bird:179734,collector number=2186,13519,Taeniopygia guttata ssp.,Carla Cicero; Monica J. Albe,,United States,California,Alameda County,Aviary in Oakland,8-Oct-00,"skin, study; tissue",,,,medium skull windows,male
,MVZ:Bird:179735,collector number=2187,13519,Taeniopygia guttata ssp.,Carla Cicero; Monica J. Albe,,United States,California,Alameda County,Aviary in Oakland,8-Oct-00,"skin, study; tissue",,,,tiny skull windows,male
,MVZ:Bird:179736,collector number=2188,13519,Taeniopygia guttata ssp.,Carla Cicero; Monica J. Albe,,United States,California,Alameda County,Aviary in Oakland,8-Oct-00,"skin, study; tissue",,,,large skull windows,male
,MVZ:Bird:179737,collector number=2189,13519,Taeniopygia guttata ssp.,Carla Cicero; Monica J. Albe,,United States,California,Alameda County,Aviary in Oakland,8-Oct-00,whole organism,,,,juvenile; born late August/early September 2000,unknown
,MVZ:Bird:179738,collector number=2190,13519,Taeniopygia guttata ssp.,Carla Cicero; Monica J. Albe,,United States,California,Alameda County,Aviary in Oakland,8-Oct-00,whole organism,,,,juvenile; born late August/early September 2000,unknown
,MVZ:Bird:179739,collector number=2191,13519,Taeniopygia guttata ssp.,Carla Cicero; Monica J. Albe,,United States,California,Alameda County,Aviary in Oakland,8-Oct-00,whole organism,,,,juvenile; born late August/early September 2000,unknown
,MVZ:Bird:179740,collector number=2192,13519,Taeniopygia guttata ssp.,Carla Cicero; Monica J. Albe,,United States,California,Alameda County,Aviary in Oakland,8-Oct-00,whole organism,,,,juvenile born late August/early September 2000,unknown
,MVZ:Bird:179810,collector number=2178,13554,Tyto alba pratincola,"Carla Cicero, Bryan Winton",,United States,California,Solano County,"entrance gate to Cullihan Ranch Tract, 1 mi W Mare Island (Napa River Bridge) on N side of Hwy. 37, San Pablo Bay National Wildlife Refuge",2-Nov-00,"skin, study; tissue; tissue sample",38.1184425,-122.3053782,2063,adult,male
,MVZ:Bird:179811,collector number=2169,13555,Aphelocoma californica californica,Carla Cicero,,United States,California,Contra Costa County,"Alhambra Valley Rd., 0.5 mi from junction with Bear Creek Rd.",20-May-00,"skin, study; tissue; tissue sample",37.9662946,-122.2059186,1822,skull unossified,male
,MVZ:Bird:179812,collector number=2248,13556,Columba livia ssp.,Carla Cicero,,United States,California,Contra Costa County,"Ascot Drive near junction with Moraga Rd., Moraga",4-Feb-01,"skin, study; tissue",37.8599227,-122.1346272,174,Adult,female
,MVZ:Bird:179813,collector number=2251,13557,Melozone crissalis petulans,Carla Cicero,,United States,California,Alameda County,"2524 Dwight Way, Berkeley",29-Mar-01,"skin, study; tissue",37.86539,-122.25629,10,adult skeleton,male
,MVZ:Bird:179815,collector number=2237,13558,Catharus guttatus guttatus,Carla Cicero; Ned K. Johnson,,United States,California,Contra Costa County,"7 Evans Place, Orinda",20-Mar-01,"skin, study; tissue",37.86556667,-122.1520167,34,adult skull,female
,MVZ:Bird:179816,collector number=2174,13558,Catharus guttatus guttatus,Carla Cicero; Ned K. Johnson,,United States,California,Contra Costa County,"7 Evans Place, Orinda",20-Mar-01,"skin, study; tissue",37.86556667,-122.1520167,34,skull unossified,male
,MVZ:Bird:179817,collector number=2173,13558,Passerella iliaca ssp.,Carla Cicero; Ned K. Johnson,,United States,California,Contra Costa County,"7 Evans Place, Orinda",20-Mar-01,"skin, study; tissue",37.86556667,-122.1520167,34,small skull windows,unknown
,MVZ:Bird:179818,collector number=2234,13558,Zonotrichia atricapilla,Carla Cicero; Ned K. Johnson,,United States,California,Contra Costa County,"7 Evans Place, Orinda",20-Mar-01,"skin, study; tissue",37.86556667,-122.1520167,34,adult skull; first year plumage,female
,MVZ:Bird:179814,collector number=2193,13530,Dendragapus fuliginosus sierrae,Carla Cicero,,United States,California,Shasta County,"ca. 0.25-0.5 mi N Manzanita Lake (Trapsite F-2), Lassen Volcanic National Park",14-Jun-00,"skin, study; tissue",40.5451771,-121.5674756,312,chick,unknown
,MVZ:Bird:179819,collector number=2261,13561,Dryobates nuttallii,Carla Cicero,,United States,California,Contra Costa County,"7 Evans Place, Orinda",9-Jun-01,"skin, study; tissue; tissue sample",37.86556667,-122.1520167,34,juvenile skull,male
,MVZ:Bird:179820,collector number=2260,13561,Melozone crissalis petulans,Carla Cicero,,United States,California,Contra Costa County,"Hall Drive, Orinda",9-Jun-01,"skin, study; tissue",37.86143,-122.15246,695,adult skull,female
,MVZ:Bird:179522,collector number=7040,13483,Pipilo maculatus ssp.,Ned K. Johnson,,United States,California,Los Angeles County,"Upper Shake Campground, 3 mi S and 4 mi E Three Points",31-May-00,"skin, study; tissue; tissue sample",34.69,-118.53,510,adult skull,40.30; male; testis 13 x 7 mm; adult skull; no fat; iridescent dull orange
,MVZ:Bird:179523,collector number=7041,13483,Pipilo maculatus ssp.,Ned K. Johnson,,United States,California,Los Angeles County,"Upper Shake Campground, 3 mi S and 4 mi E Three Points",31-May-00,"skin, study; tissue; tissue sample",34.69,-118.53,510,adult skull,38.30; male; testis 12 x 6 mm; adult skull; no fat; iridescent bright orange
,MVZ:Bird:179524,collector number=7042,13483,Pipilo maculatus ssp.,Ned K. Johnson,,United States,California,Los Angeles County,"Upper Shake Campground, 3 mi S and 4 mi E Three Points",31-May-00,"skin, study; tissue; tissue sample",34.69,-118.53,510,adult skull,34.30; male; testis 12 x 9 mm; adult skull; no fat; iridescent bright orange
,MVZ:Bird:179525,collector number=2006,13483,Pipilo maculatus ssp.,Carla Cicero,,United States,California,Los Angeles County,"Upper Shake Campground, 3 mi S and 4 mi E Three Points",31-May-00,"skin, study; tissue; tissue sample",34.69,-118.53,510,adult skull; adult wings and tail,36.70; male; testis 10 x 8 mm; large cloacal protuberance; adult skull; adult wings and tail; no fat; iridescent red
,MVZ:Bird:179526,collector number=2007,13483,Pipilo maculatus ssp.,Carla Cicero,,United States,California,Los Angeles County,"Upper Shake Campground, 3 mi S and 4 mi E Three Points",31-May-00,"skin, study; tissue; tissue sample",34.69,-118.53,510,adult skull; adult (?) wings and tail,38.50; male; testis 13 x 9 mm; large cloacal protuberance; adult skull; adult (?) wings and tail; no fat; iridescent red
,MVZ:Bird:179527,collector number=2008,13483,Pipilo maculatus ssp.,Carla Cicero,,United States,California,Los Angeles County,"Upper Shake Campground, 3 mi S and 4 mi E Three Points",31-May-00,"skin, study; tissue; tissue sample",34.69,-118.53,510,adult skull; first year (?) wings and tail,37.30; male; testis 9 x 7 mm; medium cloacal protuberance; adult skull; first year (?) wings and tail; no fat; iridescent red-orange
,MVZ:Bird:179528,collector number=2009,13483,Pipilo maculatus ssp.,Carla Cicero,,United States,California,Los Angeles County,"Upper Shake Campground, 3 mi S and 4 mi E Three Points",31-May-00,"skin, study; tissue; tissue sample",34.69,-118.53,510,adult skull; adult wings and tail,38.70; male; testis 12 x 8 mm; large cloacal protuberance; adult skull; adult wings and tail; no fat; iridescent red
,MVZ:Bird:179529,collector number=7043,13483,Pipilo maculatus ssp.,Ned K. Johnson,,United States,California,Los Angeles County,"Upper Shake Campground, 3 mi S and 4 mi E Three Points",1-Jun-00,"skin, study; tissue; tissue sample",34.69,-118.53,510,adult skull,37.40; male; testis 10 x 8 mm; medium cloacal protuberance; adult skull; no fat; iridescent dull orange
,MVZ:Bird:179530,collector number=7044,13483,Pipilo maculatus ssp.,Ned K. Johnson,,United States,California,Los Angeles County,"Upper Shake Campground, 3 mi S and 4 mi E Three Points",1-Jun-00,"skin, study; tissue; tissue sample",34.69,-118.53,510,adult skull,36.10; male; testis 11 x 8 mm; medium cloacal protuberance; adult skull; no fat; iridescent red
,MVZ:Bird:179531,collector number=7045,13483,Pipilo maculatus ssp.,Ned K. Johnson,,United States,California,Los Angeles County,"Upper Shake Campground, 3 mi S and 4 mi E Three Points",1-Jun-00,"skin, study; tissue; tissue sample",34.69,-118.53,510,adult skull,39.00; male; testis 13 x 10 mm; medium cloacal protuberance; adult skull; no fat; iridescent dull red
,MVZ:Bird:179532,collector number=7046,13483,Pipilo maculatus ssp.,Ned K. Johnson,,United States,California,Los Angeles County,"Upper Shake Campground, 3 mi S and 4 mi E Three Points",1-Jun-00,"skin, study; tissue; tissue sample",34.69,-118.53,510,adult skull,38.30; male; testis 13 x 8 mm; medium cloacal protuberance; adult skull; no fat
,MVZ:Bird:179533,collector number=7047,13483,Pipilo maculatus ssp.,Ned K. Johnson,,United States,California,Los Angeles County,"Upper Shake Campground, 3 mi S and 4 mi E Three Points",1-Jun-00,"skin, study; tissue; tissue sample",34.69,-118.53,510,adult skull,female
,MVZ:Bird:179534,collector number=2010,13483,Pipilo maculatus ssp.,Carla Cicero,,United States,California,Los Angeles County,"Upper Shake Campground, 3 mi S and 4 mi E Three Points",1-Jun-00,"skin, study; tissue; tissue sample",34.69,-118.53,510,adult skull; adult wings and tail,36.00; male; testis 15 x 8 mm; large cloacal protuberance; adult skull; adult wings and tail; no fat; iridescent red
,MVZ:Bird:179535,collector number=2011,13483,Pipilo maculatus ssp.,Carla Cicero,,United States,California,Los Angeles County,"Upper Shake Campground, 3 mi S and 4 mi E Three Points",1-Jun-00,"skin, study; tissue; tissue sample",34.69,-118.53,510,adult skull; adult wings and tail,34.20; male; testis 10 x 8 mm; large cloacal protuberance; adult skull; adult wings and tail; no fat; iridescent red-orange
,MVZ:Bird:179536,collector number=2012,13483,Pipilo maculatus ssp.,Carla Cicero,,United States,California,Los Angeles County,"Upper Shake Campground, 3 mi S and 4 mi E Three Points",1-Jun-00,"skin, study; tissue; tissue sample",34.69,-118.53,510,adult skull; adult wings and tail,37.80; male; testis 10 x 6 mm; large cloacal protuberance; adult skull; adult wings and tail; no fat; iridescent deep orange
