"","guid","accn_number","spec_locality","scientific_name","genus","species","other","dec_lat","dec_long","coll_method","genus_species"
"31","MVZ:Bird:179465","13475","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",39.27833333,-121.2983333,"active","Pipilo maculatus"
"32","MVZ:Bird:179466","13475","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",39.27833333,-121.2983333,"active","Pipilo maculatus"
"33","MVZ:Bird:179467","13475","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",39.27833333,-121.2983333,"active","Pipilo maculatus"
"34","MVZ:Bird:179468","13475","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",39.27833333,-121.2983333,"active","Pipilo maculatus"
"35","MVZ:Bird:179469","13475","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",39.27833333,-121.2983333,"active","Pipilo maculatus"
"36","MVZ:Bird:179470","13475","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",39.27833333,-121.2983333,"active","Pipilo maculatus"
"37","MVZ:Bird:179471","13475","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",39.27833333,-121.2983333,"active","Pipilo maculatus"
"38","MVZ:Bird:179472","13475","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",39.27833333,-121.2983333,"active","Pipilo maculatus"
"39","MVZ:Bird:179473","13475","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",39.27833333,-121.2983333,"active","Pipilo maculatus"
"40","MVZ:Bird:179474","13475","University of California Sierra Foothill Range Field Station, 3.5 mi N and 0.5 mi W Smartville","Aimophila ruficeps ruficeps","Aimophila","ruficeps","ruficeps",39.2584115,-121.3068958,"active","Aimophila ruficeps"
"41","MVZ:Bird:179475","13475","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville","Chondestes grammacus strigatus","Chondestes","grammacus","strigatus",39.27833333,-121.2983333,"active","Chondestes grammacus"
"42","MVZ:Bird:179476","13476","Arnold Cabin Rd., Hastings Natural History Reservation","Vireo gilvus swainsoni","Vireo","gilvus","swainsoni",36.371327,-121.5645284,"active","Vireo gilvus"
"43","MVZ:Bird:179477","13476","Arnold Cabin Rd., Hastings Natural History Reservation","Leiothlypis celata lutescens","Leiothlypis","celata","lutescens",36.371327,-121.5645284,"active","Leiothlypis celata"
"44","MVZ:Bird:179478","13476","Robertson Creek, Hastings Natural History Reservation","Pheucticus melanocephalus maculatus","Pheucticus","melanocephalus","maculatus",36.375,-121.5566667,"active","Pheucticus melanocephalus"
"45","MVZ:Bird:179479","13476","Robertson Creek, Hastings Natural History Reservation","Pheucticus melanocephalus maculatus","Pheucticus","melanocephalus","maculatus",36.375,-121.5566667,"active","Pheucticus melanocephalus"
"46","MVZ:Bird:179480","13476","Robertson Creek, Hastings Natural History Reservation","Pheucticus melanocephalus maculatus","Pheucticus","melanocephalus","maculatus",36.375,-121.5566667,"active","Pheucticus melanocephalus"
"47","MVZ:Bird:179522","13483","Upper Shake Campground, 3 mi S and 4 mi E Three Points","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",34.69,-118.53,"active","Pipilo maculatus"
"48","MVZ:Bird:179523","13483","Upper Shake Campground, 3 mi S and 4 mi E Three Points","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",34.69,-118.53,"active","Pipilo maculatus"
"49","MVZ:Bird:179524","13483","Upper Shake Campground, 3 mi S and 4 mi E Three Points","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",34.69,-118.53,"active","Pipilo maculatus"
"50","MVZ:Bird:179525","13483","Upper Shake Campground, 3 mi S and 4 mi E Three Points","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",34.69,-118.53,"active","Pipilo maculatus"
"51","MVZ:Bird:179526","13483","Upper Shake Campground, 3 mi S and 4 mi E Three Points","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",34.69,-118.53,"active","Pipilo maculatus"
"52","MVZ:Bird:179527","13483","Upper Shake Campground, 3 mi S and 4 mi E Three Points","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",34.69,-118.53,"active","Pipilo maculatus"
"53","MVZ:Bird:179528","13483","Upper Shake Campground, 3 mi S and 4 mi E Three Points","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",34.69,-118.53,"active","Pipilo maculatus"
"54","MVZ:Bird:179529","13483","Upper Shake Campground, 3 mi S and 4 mi E Three Points","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",34.69,-118.53,"active","Pipilo maculatus"
"55","MVZ:Bird:179530","13483","Upper Shake Campground, 3 mi S and 4 mi E Three Points","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",34.69,-118.53,"active","Pipilo maculatus"
"56","MVZ:Bird:179531","13483","Upper Shake Campground, 3 mi S and 4 mi E Three Points","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",34.69,-118.53,"active","Pipilo maculatus"
"57","MVZ:Bird:179532","13483","Upper Shake Campground, 3 mi S and 4 mi E Three Points","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",34.69,-118.53,"active","Pipilo maculatus"
"58","MVZ:Bird:179533","13483","Upper Shake Campground, 3 mi S and 4 mi E Three Points","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",34.69,-118.53,"active","Pipilo maculatus"
"59","MVZ:Bird:179534","13483","Upper Shake Campground, 3 mi S and 4 mi E Three Points","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",34.69,-118.53,"active","Pipilo maculatus"
"60","MVZ:Bird:179535","13483","Upper Shake Campground, 3 mi S and 4 mi E Three Points","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",34.69,-118.53,"active","Pipilo maculatus"
"61","MVZ:Bird:179536","13483","Upper Shake Campground, 3 mi S and 4 mi E Three Points","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",34.69,-118.53,"active","Pipilo maculatus"
"62","MVZ:Bird:179537","13483","Upper Shake Campground, 3 mi S and 4 mi E Three Points","Pipilo maculatus ssp.","Pipilo","maculatus","ssp.",34.69,-118.53,"active","Pipilo maculatus"
"63","MVZ:Bird:179694","13493","Clark Kerr campus, University of California, Berkeley","Sturnus vulgaris vulgaris","Sturnus","vulgaris","vulgaris",37.8647874,-122.2463445,"salvage","Sturnus vulgaris"
"64","MVZ:Bird:179724","13503","Livermore","Euphagus cyanocephalus","Euphagus","cyanocephalus",NA,37.6822,-121.76624,"salvage","Euphagus cyanocephalus"
"65","MVZ:Bird:179726","13504","Montclair, Oakland","Setophaga townsendi","Setophaga","townsendi",NA,37.83183,-122.20748,"salvage","Setophaga townsendi"
"66","MVZ:Bird:179727","13505","3455 Dwight Way, Berkeley","Psaltriparus minimus minimus","Psaltriparus","minimus","minimus",37.86841,-122.24209,"salvage","Psaltriparus minimus"
"67","MVZ:Bird:179728","13506","Grizzley Peak Blvd., 1 mi S of steam train, Tilden Park, Berkeley","Spinus tristis salicamans","Spinus","tristis","salicamans",37.86848,-122.21534,"salvage","Spinus tristis"
"75","MVZ:Bird:179783","13522","52 South Padre Lane, town of Meadow Valley","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",39.94295,-121.052041,"salvage","Cyanocitta stelleri"
"76","MVZ:Bird:179784","13522","52 South Padre Lane, town of Meadow Valley","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",39.94295,-121.052041,"salvage","Cyanocitta stelleri"
"77","MVZ:Bird:179785","13522","Deanes Valley Rd., 1 mi S and 1 mi E town of Meadow Valley","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",39.925,-121.0433333,"active","Cyanocitta stelleri"
"78","MVZ:Bird:179786","13522","Deanes Valley Rd., 1 mi S and 1 mi E town of Meadow Valley","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",39.925,-121.0433333,"active","Cyanocitta stelleri"
"79","MVZ:Bird:179810","13554","entrance gate to Cullihan Ranch Tract, 1 mi W Mare Island (Napa River Bridge) on N side of Hwy. 37, San Pablo Bay National Wildlife Refuge","Tyto alba pratincola","Tyto","alba","pratincola",38.1184425,-122.3053782,"salvage","Tyto alba"
"80","MVZ:Bird:179811","13555","Alhambra Valley Rd., 0.5 mi from junction with Bear Creek Rd.","Aphelocoma californica californica","Aphelocoma","californica","californica",37.9662946,-122.2059186,"salvage","Aphelocoma californica"
"81","MVZ:Bird:179812","13556","Ascot Drive near junction with Moraga Rd., Moraga","Columba livia ssp.","Columba","livia","ssp.",37.8599227,-122.1346272,"salvage","Columba livia"
"82","MVZ:Bird:179813","13557","2524 Dwight Way, Berkeley","Melozone crissalis petulans","Melozone","crissalis","petulans",37.86539,-122.25629,"salvage","Melozone crissalis"
"83","MVZ:Bird:179815","13558","7 Evans Place, Orinda","Catharus guttatus guttatus","Catharus","guttatus","guttatus",37.86556667,-122.1520167,"salvage","Catharus guttatus"
"84","MVZ:Bird:179816","13558","7 Evans Place, Orinda","Catharus guttatus guttatus","Catharus","guttatus","guttatus",37.86556667,-122.1520167,"salvage","Catharus guttatus"
"85","MVZ:Bird:179817","13558","7 Evans Place, Orinda","Passerella iliaca ssp.","Passerella","iliaca","ssp.",37.86556667,-122.1520167,"salvage","Passerella iliaca"
"86","MVZ:Bird:179818","13558","7 Evans Place, Orinda","Zonotrichia atricapilla","Zonotrichia","atricapilla",NA,37.86556667,-122.1520167,"salvage","Zonotrichia atricapilla"
"87","MVZ:Bird:179819","13561","7 Evans Place, Orinda","Dryobates nuttallii","Dryobates","nuttallii",NA,37.86556667,-122.1520167,"salvage","Dryobates nuttallii"
"88","MVZ:Bird:179820","13561","Hall Drive, Orinda","Melozone crissalis petulans","Melozone","crissalis","petulans",37.86143,-122.15246,"salvage","Melozone crissalis"
"89","MVZ:Bird:179821","13562","Finch Creek, ca. 300 m E of mile marker 26 on Carmel Valley Rd., Hastings Natural History Reservation","Melanerpes formicivorus bairdi","Melanerpes","formicivorus","bairdi",36.37907777,-121.5669772,"salvage","Melanerpes formicivorus"
"90","MVZ:Bird:179853","13573","Jamesburg","Melanerpes formicivorus bairdi","Melanerpes","formicivorus","bairdi",36.3697,-121.5892,"salvage","Melanerpes formicivorus"
"91","MVZ:Bird:179857","13573","Hastings Natural History Reservation, 2.5 mi E Jamesburg","Melanerpes formicivorus bairdi","Melanerpes","formicivorus","bairdi",36.3697,-121.54437,"salvage","Melanerpes formicivorus"
"92","MVZ:Bird:179929","13608","Richmond Parkway at Gertrude Ave., Richmond","Falco sparverius sparverius","Falco","sparverius","sparverius",37.9541,-122.3749,"salvage","Falco sparverius"
"93","MVZ:Bird:179930","13608","Hicks Valley Rd. at 0.25 mi N Point Reyes-Petaluma Rd.","Bubo virginianus saturatus","Bubo","virginianus","saturatus",38.1506,-122.7052,"salvage","Bubo virginianus"
"94","MVZ:Bird:179998","13596","Hastings Cabin, Hastings Natural History Reservation","Junco hyemalis (Oreganus Group)","Junco","hyemalis","(Oreganus",36.38753853,-121.54944,"salvage","Junco hyemalis"
"95","MVZ:Bird:179999","13635","3455 Dwight Way, Berkeley","Zonotrichia atricapilla","Zonotrichia","atricapilla",NA,37.86841,-122.24209,"salvage","Zonotrichia atricapilla"
"96","MVZ:Bird:180000","13642","Hwy. 160 at Walker Landing Rd.","Tyto alba pratincola","Tyto","alba","pratincola",38.2122,-121.5576,"salvage","Tyto alba"
"97","MVZ:Bird:180001","13643","1009 San Anselmo Ave., San Anselmo","Accipiter cooperii","Accipiter","cooperii",NA,37.978,-122.569,"salvage","Accipiter cooperii"
"98","MVZ:Bird:180002","13644","1540 Summit Rd., Berkeley","Catharus guttatus ssp.","Catharus","guttatus","ssp.",37.8816,-122.2465,"salvage","Catharus guttatus"
"99","MVZ:Bird:180003","13645","7 Evans Place, Orinda","Callipepla californica brunnescens","Callipepla","californica","brunnescens",37.86556667,-122.1520167,"salvage","Callipepla californica"
"100","MVZ:Bird:180004","13646","7 Evans Place, Orinda","Ixoreus naevius ssp.","Ixoreus","naevius","ssp.",37.86556667,-122.1520167,"salvage","Ixoreus naevius"
"101","MVZ:Bird:180005","13649","Diamond Creek, 3 mi S and 4.5 mi E Pollock Pines at junction of Hwy. 50 and Sly Park Rd.","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",38.7155333,-120.4779167,"salvage","Cyanocitta stelleri"
"102","MVZ:Bird:180006","13649","Diamond Creek, 3 mi S and 4.5 mi E Pollock Pines at junction of Hwy. 50 and Sly Park Rd.","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",38.7155333,-120.4779167,"salvage","Cyanocitta stelleri"
"103","MVZ:Bird:180007","13649","Diamond Creek, 3 mi S and 4.5 mi E Pollock Pines at junction of Hwy. 50 and Sly Park Rd.","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",38.7155333,-120.4779167,"salvage","Cyanocitta stelleri"
"104","MVZ:Bird:180008","13649","Diamond Creek, 3 mi S and 4.5 mi E Pollock Pines at junction of Hwy. 50 and Sly Park Rd.","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",38.7155333,-120.4779167,"salvage","Cyanocitta stelleri"
"105","MVZ:Bird:180009","13649","Diamond Creek, 3 mi S and 4.5 mi E Pollock Pines at junction of Hwy. 50 and Sly Park Rd.","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",38.7155333,-120.4779167,"salvage","Cyanocitta stelleri"
"106","MVZ:Bird:180010","13649","Diamond Creek, 3 mi S and 4.5 mi E Pollock Pines at junction of Hwy. 50 and Sly Park Rd.","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",38.7155333,-120.4779167,"salvage","Cyanocitta stelleri"
"107","MVZ:Bird:180011","13649","Diamond Creek, 3 mi S and 4.5 mi E Pollock Pines at junction of Hwy. 50 and Sly Park Rd.","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",38.7155333,-120.4779167,"salvage","Cyanocitta stelleri"
"108","MVZ:Bird:180012","13649","Diamond Creek, 3 mi S and 4.5 mi E Pollock Pines at junction of Hwy. 50 and Sly Park Rd.","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",38.7155333,-120.4779167,"salvage","Cyanocitta stelleri"
"109","MVZ:Bird:180013","13649","Snow Creek, 4.5 mi S and 6.5 mi E Pollock Pines at junction of Hwy. 50 and Sly Park Rd.","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",38.69865,-120.45555,"salvage","Cyanocitta stelleri"
"110","MVZ:Bird:180014","13649","Snow Creek, 4.5 mi S and 6.5 mi E Pollock Pines at junction of Hwy. 50 and Sly Park Rd.","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",38.69865,-120.45555,"salvage","Cyanocitta stelleri"
"111","MVZ:Bird:180015","13649","Snow Creek, 4.5 mi S and 6.5 mi E Pollock Pines at junction of Hwy. 50 and Sly Park Rd.","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",38.69865,-120.45555,"salvage","Cyanocitta stelleri"
"112","MVZ:Bird:180016","13649","Snow Creek, 4.5 mi S and 6.5 mi E Pollock Pines at junction of Hwy. 50 and Sly Park Rd.","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",38.69865,-120.45555,"salvage","Cyanocitta stelleri"
"113","MVZ:Bird:180017","13649","Snow Creek, 4.5 mi S and 6.5 mi E Pollock Pines at junction of Hwy. 50 and Sly Park Rd.","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",38.69865,-120.45555,"salvage","Cyanocitta stelleri"
"114","MVZ:Bird:180018","13649","Snow Creek, 4.5 mi S and 6.5 mi E Pollock Pines at junction of Hwy. 50 and Sly Park Rd.","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",38.69865,-120.45555,"salvage","Cyanocitta stelleri"
"115","MVZ:Bird:180019","13649","Snow Creek, 4.5 mi S and 6.5 mi E Pollock Pines at junction of Hwy. 50 and Sly Park Rd.","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",38.69865,-120.45555,"salvage","Cyanocitta stelleri"
"116","MVZ:Bird:180020","13649","Snow Creek, 4.5 mi S and 6.5 mi E Pollock Pines at junction of Hwy. 50 and Sly Park Rd.","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",38.69865,-120.45555,"salvage","Cyanocitta stelleri"
"117","MVZ:Bird:180021","13649","Snow Creek, 4.5 mi S and 6.5 mi E Pollock Pines at junction of Hwy. 50 and Sly Park Rd.","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",38.69865,-120.45555,"salvage","Cyanocitta stelleri"
"118","MVZ:Bird:180022","13649","Snow Creek, 4.5 mi S and 6.5 mi E Pollock Pines at junction of Hwy. 50 and Sly Park Rd.","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",38.69865,-120.45555,"salvage","Cyanocitta stelleri"
"119","MVZ:Bird:180023","13649","Snow Creek, 4.5 mi S and 6.5 mi E Pollock Pines at junction of Hwy. 50 and Sly Park Rd.","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",38.69865,-120.45555,"salvage","Cyanocitta stelleri"
"120","MVZ:Bird:180024","13649","Snow Creek, 4.5 mi S and 6.5 mi E Pollock Pines at junction of Hwy. 50 and Sly Park Rd.","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",38.69865,-120.45555,"salvage","Cyanocitta stelleri"
"121","MVZ:Bird:180025","13649","2 mi N and 0.5 mi W Markleeville","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",38.7190667,-119.7883,"active","Cyanocitta stelleri"
"122","MVZ:Bird:180026","13649","2 mi N and 0.5 mi W Markleeville","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",38.7190667,-119.7883,"active","Cyanocitta stelleri"
"123","MVZ:Bird:180027","13649","2 mi N and 0.5 mi W Markleeville","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",38.7190667,-119.7883,"active","Cyanocitta stelleri"
"124","MVZ:Bird:180028","13649","2 mi N and 0.5 mi W Markleeville","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",38.7190667,-119.7883,"active","Cyanocitta stelleri"
"125","MVZ:Bird:180029","13649","2 mi N Markleeville","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",38.7262,-119.7773,"active","Cyanocitta stelleri"
"126","MVZ:Bird:180030","13649","2 mi N Markleeville","Cyanocitta stelleri frontalis","Cyanocitta","stelleri","frontalis",38.7262,-119.7773,"active","Cyanocitta stelleri"
"127","MVZ:Bird:180043","13673","NW side of Haystack Hill, W of Hastings Reservation","Megascops kennicottii bendirei","Megascops","kennicottii","bendirei",36.3863,-121.5644,"salvage","Megascops kennicottii"
"128","MVZ:Bird:180044","13674","hill behind Robertson House, Hastings Natural History Reservation","Pipilo maculatus falcifer","Pipilo","maculatus","falcifer",36.382,-121.5451,"salvage","Pipilo maculatus"
"129","MVZ:Bird:180045","13675","7 Evans Place, Orinda","Selasphorus sasin sasin x Selasphorus rufus","Selasphorus","sasin","sasin",37.86556667,-122.1520167,"salvage","Selasphorus sasin"
"130","MVZ:Bird:180046","13676","Unit 2 Dormitory, between Channing and Haste Streets, Berkeley","Turdus migratorius propinquus","Turdus","migratorius","propinquus",37.8662,-122.2516,"salvage","Turdus migratorius"
"131","MVZ:Bird:180047","13676","Unit 2 Dormitory, between Channing and Haste Streets, Berkeley","Turdus migratorius propinquus","Turdus","migratorius","propinquus",37.8662,-122.2516,"salvage","Turdus migratorius"
"132","MVZ:Bird:180048","13676","Unit 2 Dormitory, between Channing and Haste Streets, Berkeley","Turdus migratorius propinquus","Turdus","migratorius","propinquus",37.8662,-122.2516,"salvage","Turdus migratorius"
"133","MVZ:Bird:180049","13676","Unit 2 Dormitory, between Channing and Haste Streets, Berkeley","Turdus migratorius propinquus","Turdus","migratorius","propinquus",37.8662,-122.2516,"salvage","Turdus migratorius"
"134","MVZ:Bird:180050","13676","Unit 2 Dormitory, between Channing and Haste Streets, Berkeley","Bombycilla cedrorum","Bombycilla","cedrorum",NA,37.8662,-122.2516,"salvage","Bombycilla cedrorum"
"135","MVZ:Bird:180051","13676","Unit 2 Dormitory, between Channing and Haste Streets, Berkeley","Bombycilla cedrorum","Bombycilla","cedrorum",NA,37.8662,-122.2516,"salvage","Bombycilla cedrorum"
"136","MVZ:Bird:180052","13676","Unit 2 Dormitory, between Channing and Haste Streets, Berkeley","Bombycilla cedrorum","Bombycilla","cedrorum",NA,37.8662,-122.2516,"salvage","Bombycilla cedrorum"
"137","MVZ:Bird:180053","13676","Unit 2 Dormitory, between Channing and Haste Streets, Berkeley","Bombycilla cedrorum","Bombycilla","cedrorum",NA,37.8662,-122.2516,"salvage","Bombycilla cedrorum"
"138","MVZ:Bird:180054","13676","Unit 2 Dormitory, between Channing and Haste Streets, Berkeley","Bombycilla cedrorum","Bombycilla","cedrorum",NA,37.8662,-122.2516,"salvage","Bombycilla cedrorum"
