"","guid","accn_number","verbatim_date","spec_locality","count"
"32","MVZ:Bird:179467","13475","7-Apr-00","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",1
"33","MVZ:Bird:179468","13475","8-Apr-00","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",1
"34","MVZ:Bird:179469","13475","8-Apr-00","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",1
"35","MVZ:Bird:179470","13475","8-Apr-00","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",1
"36","MVZ:Bird:179471","13475","8-Apr-00","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",1
"37","MVZ:Bird:179472","13475","8-Apr-00","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",1
"38","MVZ:Bird:179473","13475","8-Apr-00","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",1
"39","MVZ:Bird:179474","13475","9-Apr-00","University of California Sierra Foothill Range Field Station, 3.5 mi N and 0.5 mi W Smartville",1
"40","MVZ:Bird:179475","13475","6-Apr-00","University of California Sierra Foothill Range Field Station, 4.5 mi N Smartville",1
"41","MVZ:Bird:179476","13476","29-Apr-00","Arnold Cabin Rd., Hastings Natural History Reservation",1
"42","MVZ:Bird:179477","13476","29-Apr-00","Arnold Cabin Rd., Hastings Natural History Reservation",1
"43","MVZ:Bird:179478","13476","28-Apr-00","Robertson Creek, Hastings Natural History Reservation",1
"44","MVZ:Bird:179479","13476","29-Apr-00","Robertson Creek, Hastings Natural History Reservation",1
"45","MVZ:Bird:179480","13476","29-Apr-00","Robertson Creek, Hastings Natural History Reservation",1
"46","MVZ:Bird:179522","13483","31-May-00","Upper Shake Campground, 3 mi S and 4 mi E Three Points",1
"47","MVZ:Bird:179523","13483","31-May-00","Upper Shake Campground, 3 mi S and 4 mi E Three Points",1
"48","MVZ:Bird:179524","13483","31-May-00","Upper Shake Campground, 3 mi S and 4 mi E Three Points",1
"49","MVZ:Bird:179525","13483","31-May-00","Upper Shake Campground, 3 mi S and 4 mi E Three Points",1
"50","MVZ:Bird:179526","13483","31-May-00","Upper Shake Campground, 3 mi S and 4 mi E Three Points",1
"51","MVZ:Bird:179527","13483","31-May-00","Upper Shake Campground, 3 mi S and 4 mi E Three Points",1
"52","MVZ:Bird:179528","13483","31-May-00","Upper Shake Campground, 3 mi S and 4 mi E Three Points",1
"53","MVZ:Bird:179529","13483","1-Jun-00","Upper Shake Campground, 3 mi S and 4 mi E Three Points",1
"54","MVZ:Bird:179530","13483","1-Jun-00","Upper Shake Campground, 3 mi S and 4 mi E Three Points",1
"55","MVZ:Bird:179531","13483","1-Jun-00","Upper Shake Campground, 3 mi S and 4 mi E Three Points",1
"56","MVZ:Bird:179532","13483","1-Jun-00","Upper Shake Campground, 3 mi S and 4 mi E Three Points",1
"57","MVZ:Bird:179533","13483","1-Jun-00","Upper Shake Campground, 3 mi S and 4 mi E Three Points",1
"58","MVZ:Bird:179534","13483","1-Jun-00","Upper Shake Campground, 3 mi S and 4 mi E Three Points",1
"59","MVZ:Bird:179535","13483","1-Jun-00","Upper Shake Campground, 3 mi S and 4 mi E Three Points",1
"60","MVZ:Bird:179536","13483","1-Jun-00","Upper Shake Campground, 3 mi S and 4 mi E Three Points",1
"61","MVZ:Bird:179537","13483","1-Jun-00","Upper Shake Campground, 3 mi S and 4 mi E Three Points",1
"62","MVZ:Bird:179694","13493","27-Apr-00","Clark Kerr campus, University of California, Berkeley",1
"63","MVZ:Bird:179726","13504","28-Aug-00","Montclair, Oakland",1
"64","MVZ:Bird:179728","13506","1-Aug-00","Grizzley Peak Blvd., 1 mi S of steam train, Tilden Park, Berkeley",1
"65","MVZ:Bird:179785","13522","27-Oct-00","Deanes Valley Rd., 1 mi S and 1 mi E town of Meadow Valley",1
"66","MVZ:Bird:179786","13522","27-Oct-00","Deanes Valley Rd., 1 mi S and 1 mi E town of Meadow Valley",1
"67","MVZ:Bird:179811","13555","20-May-00","Alhambra Valley Rd., 0.5 mi from junction with Bear Creek Rd.",1
"68","MVZ:Bird:179812","13556","4-Feb-01","Ascot Drive near junction with Moraga Rd., Moraga",1
"69","MVZ:Bird:179820","13561","9-Jun-01","Hall Drive, Orinda",1
"70","MVZ:Bird:179821","13562","13-May-01","Finch Creek, ca. 300 m E of mile marker 26 on Carmel Valley Rd., Hastings Natural History Reservation",1
"71","MVZ:Bird:179857","13573","30-Jul-01","Hastings Natural History Reservation, 2.5 mi E Jamesburg",1
"72","MVZ:Bird:179929","13608","8-Nov-01","Richmond Parkway at Gertrude Ave., Richmond",1
"73","MVZ:Bird:179930","13608","18-Jul-01","Hicks Valley Rd. at 0.25 mi N Point Reyes-Petaluma Rd.",1
"74","MVZ:Bird:179998","13596","2-Nov-01","Hastings Cabin, Hastings Natural History Reservation",1
"75","MVZ:Bird:180025","13649","29-Oct-01","2 mi N and 0.5 mi W Markleeville",1
"76","MVZ:Bird:180026","13649","29-Oct-01","2 mi N and 0.5 mi W Markleeville",1
"77","MVZ:Bird:180027","13649","29-Oct-01","2 mi N and 0.5 mi W Markleeville",1
"78","MVZ:Bird:180028","13649","29-Oct-01","2 mi N and 0.5 mi W Markleeville",1
"79","MVZ:Bird:180029","13649","27-Oct-01","2 mi N Markleeville",1
"80","MVZ:Bird:180030","13649","27-Oct-01","2 mi N Markleeville",1
"81","MVZ:Bird:180043","13673","8-Jan-02","NW side of Haystack Hill, W of Hastings Reservation",1
"82","MVZ:Bird:180044","13674","2-Mar-02","hill behind Robertson House, Hastings Natural History Reservation",1
"83","MVZ:Bird:180057","13696","27-Apr-02","Rana Creek Ranch, Carmel Valley",1
"84","MVZ:Bird:180063","13701","25-Jul-02","1000 Block of Goodwin Ave, Penngrove",1
"85","MVZ:Bird:180064","13701","14-Aug-02","Nicasio Valley Rd., near Sir Francis Drake Blvd. (in roadway)",1
"86","MVZ:Bird:180065","13703","27-Jul-02","0.5 mi W of Quincy Hospital on Bucks Lake Rd.",1
"87","MVZ:Bird:180067","13706","17-Apr-02","Long's Drugs, Rheem Shopping Center, Moraga",1
"88","MVZ:Bird:180068","13706","17-Apr-02","Long's Drugs, Rheem Shopping Center, Moraga",1
"89","MVZ:Bird:180069","13706","17-Apr-02","Long's Drugs, Rheem Shopping Center, Moraga",1
"90","MVZ:Bird:180117","13710","2-Jun-02","1 mi E Benton",1
"91","MVZ:Bird:180118","13710","2-Jun-02","1 mi E Benton",1
"92","MVZ:Bird:180119","13710","3-Jun-02","1 mi E Benton",1
"93","MVZ:Bird:180120","13710","3-Jun-02","1 mi E Benton",1
"94","MVZ:Bird:180121","13710","3-Jun-02","1 mi E Benton",1
"95","MVZ:Bird:180122","13710","4-Jun-02","1 mi E Benton",1
"96","MVZ:Bird:180123","13710","4-Jun-02","1 mi E Benton",1
"97","MVZ:Bird:180124","13710","4-Jun-02","1 mi E Benton",1
"98","MVZ:Bird:180125","13710","4-Jun-02","1 mi E Benton",1
"99","MVZ:Bird:180126","13710","4-Jun-02","1 mi E Benton",1
"100","MVZ:Bird:180127","13710","4-Jun-02","1 mi E Benton",1
"101","MVZ:Bird:180128","13710","5-Jun-02","1 mi E Benton",1
"102","MVZ:Bird:180129","13710","5-Jun-02","1 mi E Benton",1
"103","MVZ:Bird:180130","13710","5-Jun-02","1 mi E Benton",1
"104","MVZ:Bird:180131","13710","5-Jun-02","1 mi E Benton",1
"105","MVZ:Bird:180132","13710","5-Jun-02","1 mi E Benton",1
"106","MVZ:Bird:180133","13710","5-Jun-02","1 mi E Benton",1
"107","MVZ:Bird:180138","13447","29-Oct-00","aqueduct canal across from California High School (9870 Broadmoor Drive), San Ramon",1
"108","MVZ:Bird:180140","13447","11-Jul-00","Greenbrook Drive near creek, Danville",1
"109","MVZ:Bird:180145","13447","18-Mar-00","Clayton Rd., two blocks off Ygnacio Valley Rd., Concord",1
"110","MVZ:Bird:180148","13447","12-Feb-00","Southampton Rd., Benicia",1
"111","MVZ:Bird:180152","13447","7-Feb-00","Birchwood Court, Concord",1
"112","MVZ:Bird:180153","13447","20-Jan-00","Bales Court, Concord",1
"113","MVZ:Bird:180156","13447","8-Jan-00","Mount Diablo Unitarian Universalist Church (55 Eckley Lane), Walnut Creek",1
"114","MVZ:Bird:180159","13447","4-Mar-00","Crow Canyon and Camino Tassajara, Danville",1
"115","MVZ:Bird:180160","13447","6-Jun-00","Redwood Rd., San Leandro",1
"116","MVZ:Bird:180161","13447","25-Mar-00","near 1890 South Livermore Ave., Livermore",1
"117","MVZ:Bird:180162","13447","4-May-00","junction of Valley and Stanley Blvd., Pleasanton",1
"118","MVZ:Bird:180166","13447","26-Feb-00","Rheem Blvd. and Moraga Rd., Moraga",1
"119","MVZ:Bird:180173","13447","11-Nov-00","junction of San Miguel Rd. and Treat Blvd., Concord",1
"120","MVZ:Bird:180174","13447","17-Dec-00","Lime Ridge, Concord",1
"121","MVZ:Bird:180175","13447","5-Sep-00","Baldwin Park, Concord",1
"122","MVZ:Bird:180176","13447","2-Feb-00","Turner Rd., Lodi",1
"123","MVZ:Bird:180177","13447","16-Jan-00","1000 block of Discovery Way, Concord",1
"124","MVZ:Bird:180181","13447","8-Mar-00","Alameda Naval Air Station",1
"125","MVZ:Bird:180182","13447","26-Mar-00","North Livermore Ave, Livermore",1
"126","MVZ:Bird:180186","13447","11-May-00","Oakmead, Danville",1
"127","MVZ:Bird:180198","13447","1-Nov-00","Iris Court, Benicia",1
"128","MVZ:Bird:180200","13447","16-Mar-00","near Big O Tires (3572 Clayton Rd.) on Clayton Road, Concord",1
"129","MVZ:Bird:180201","13447","23-Jul-00","Port Costa Nature Area, Crockett",1
"130","MVZ:Bird:180202","13447","10-Mar-00","Regulus Rd., Livermore",1
"131","MVZ:Bird:180203","13447","30-Mar-00","near Boundary Oaks Golf Course [=3800 Valley Vista Rd.] at Oak Grove Rd., Walnut Creek",1
"132","MVZ:Bird:180205","13721","5-Feb-01","intersection of Channing and Bowditch, Berkeley",1
"133","MVZ:Bird:180206","13722","2-May-02","Ohlone Park Trail, 10 m S of Manila Ave., El Cerrito",1
"134","MVZ:Bird:180216","13734","22-Aug-02","in front of Spenger's intersection of 4th and University, Berkeley",1
"135","MVZ:Bird:180218","13782","4-Jun-01","near Jewel Lake, Tilden Regional Park",1
"136","MVZ:Bird:180220","13792","7-Feb-03","near headquarters, Coyote Hills Regional Park",1
"137","MVZ:Bird:180221","13793","18-Jan-03","Guglielmetti Rd. (less than 1 mi from Marin County line), Petaluma",1
"138","MVZ:Bird:180222","13791","8-Jun-01","Paul L. Wattis Sanctuary, ca. 8.5 mi NNE town of Colusa",1
"139","MVZ:Bird:180223","13791","8-Jun-01","Paul L. Wattis Sanctuary, ca. 8.5 mi NNE town of Colusa",1
"140","MVZ:Bird:180224","13791","8-Jun-01","Paul L. Wattis Sanctuary, ca. 8.5 mi NNE town of Colusa",1
"141","MVZ:Bird:180225","13791","8-Jun-01","Paul L. Wattis Sanctuary, ca. 8.5 mi NNE town of Colusa",1
"142","MVZ:Bird:180226","13791","8-Jun-01","Paul L. Wattis Sanctuary, ca. 8.5 mi NNE town of Colusa",1
"143","MVZ:Bird:180227","13791","8-Jun-01","Paul L. Wattis Sanctuary, ca. 8.5 mi NNE town of Colusa",1
"144","MVZ:Bird:180228","13791","8-Jun-01","Paul L. Wattis Sanctuary, ca. 8.5 mi NNE town of Colusa",1
"145","MVZ:Bird:180229","13791","8-Jun-01","Paul L. Wattis Sanctuary, ca. 8.5 mi NNE town of Colusa",1
"146","MVZ:Bird:180230","13791","8-Jun-01","Paul L. Wattis Sanctuary, ca. 8.5 mi NNE town of Colusa",1
"147","MVZ:Bird:180231","13791","11-Jun-01","Paul L. Wattis Sanctuary, ca. 8.5 mi NNE town of Colusa",1
"148","MVZ:Bird:180232","13791","11-Jun-01","Paul L. Wattis Sanctuary, ca. 8.5 mi NNE town of Colusa",1
"149","MVZ:Bird:180233","13791","11-Jun-01","Paul L. Wattis Sanctuary, ca. 8.5 mi NNE town of Colusa",1
"150","MVZ:Bird:180234","13791","11-Jun-01","Paul L. Wattis Sanctuary, ca. 8.5 mi NNE town of Colusa",1
"151","MVZ:Bird:180235","13791","11-Jun-01","Paul L. Wattis Sanctuary, ca. 8.5 mi NNE town of Colusa",1
"152","MVZ:Bird:180236","13791","11-Jun-01","Paul L. Wattis Sanctuary, ca. 8.5 mi NNE town of Colusa",1
"153","MVZ:Bird:180237","13791","11-Jun-01","Paul L. Wattis Sanctuary, ca. 8.5 mi NNE town of Colusa",1
"154","MVZ:Bird:180238","13791","11-Jun-01","Paul L. Wattis Sanctuary, ca. 8.5 mi NNE town of Colusa",1
"155","MVZ:Bird:180239","13791","11-Jun-01","Paul L. Wattis Sanctuary, ca. 8.5 mi NNE town of Colusa",1
"156","MVZ:Bird:180240","13794","5-Oct-02","S of Dinkey Creek Rd., 1 mi S and 3 mi E town of Shaver Lake",1
"157","MVZ:Bird:180241","13794","5-Oct-02","S of Dinkey Creek Rd., 1 mi S and 3 mi E town of Shaver Lake",1
"158","MVZ:Bird:180242","13794","5-Oct-02","S of Dinkey Creek Rd., 1 mi S and 3 mi E town of Shaver Lake",1
"159","MVZ:Bird:180243","13794","5-Oct-02","S of Dinkey Creek Rd., 1 mi S and 3 mi E town of Shaver Lake",1
"160","MVZ:Bird:180244","13794","5-Oct-02","S of Dinkey Creek Rd., 1 mi S and 3 mi E town of Shaver Lake",1
"161","MVZ:Bird:180245","13794","5-Oct-02","S of Dinkey Creek Rd., 1 mi S and 3 mi E town of Shaver Lake",1
"162","MVZ:Bird:180246","13794","5-Oct-02","S of Dinkey Creek Rd., 1 mi S and 3 mi E town of Shaver Lake",1
"163","MVZ:Bird:180247","13794","5-Oct-02","S of Dinkey Creek Rd., 1 mi S and 3 mi E town of Shaver Lake",1
"164","MVZ:Bird:180248","13794","5-Oct-02","S of Dinkey Creek Rd., 1 mi S and 3 mi E town of Shaver Lake",1
"165","MVZ:Bird:180249","13794","5-Oct-02","S of Dinkey Creek Rd., 1 mi S and 3 mi E town of Shaver Lake",1
"166","MVZ:Bird:180250","13794","5-Oct-02","S of Dinkey Creek Rd., 1.5 mi S and 6 mi E town of Shaver Lake",1
"167","MVZ:Bird:180251","13794","5-Oct-02","S of Dinkey Creek Rd., 1.5 mi S and 6 mi E town of Shaver Lake",1
"168","MVZ:Bird:180252","13794","5-Oct-02","S of Dinkey Creek Rd., 1.5 mi S and 6 mi E town of Shaver Lake",1
"169","MVZ:Bird:180253","13794","5-Oct-02","S of Dinkey Creek Rd., 1.5 mi S and 6 mi E town of Shaver Lake",1
"170","MVZ:Bird:180254","13794","5-Oct-02","S of Dinkey Creek Rd., 1.5 mi S and 6 mi E town of Shaver Lake",1
"171","MVZ:Bird:180255","13794","6-Oct-02","N of Dinkey Creek Rd., 2 mi S and 8 mi E town of Shaver Lake",1
"172","MVZ:Bird:180256","13794","6-Oct-02","N of Dinkey Creek Rd., 2 mi S and 8 mi E town of Shaver Lake",1
"173","MVZ:Bird:180257","13794","6-Oct-02","N of Dinkey Creek Rd., 2 mi S and 8 mi E town of Shaver Lake",1
"174","MVZ:Bird:180258","13794","6-Oct-02","N of Dinkey Creek Rd., 2 mi S and 8 mi E town of Shaver Lake",1
"175","MVZ:Bird:180259","13794","6-Oct-02","N of Dinkey Creek Rd., 2 mi S and 8 mi E town of Shaver Lake",1
"176","MVZ:Bird:180292","13795","19-Oct-02","1 mi S and 1.5 mi W Tennant",1
"177","MVZ:Bird:180310","13797","1-Nov-02","Obsidian Dome, 1 mi S and 3 mi E town of June Lake",1
"178","MVZ:Bird:180311","13797","2-Nov-02","Deadman Creek, 4 mi S and 3.5 mi E town of June Lake",1
"179","MVZ:Bird:180312","13797","1-Nov-02","Obsidian Dome, 1 mi S and 3 mi E town of June Lake",1
"180","MVZ:Bird:180313","13797","1-Nov-02","Obsidian Dome, 1 mi S and 3 mi E town of June Lake",1
"181","MVZ:Bird:180314","13797","1-Nov-02","Obsidian Dome, 1 mi S and 3 mi E town of June Lake",1
"182","MVZ:Bird:180315","13797","2-Nov-02","Deadman Creek, 4 mi S and 3.5 mi E town of June Lake",1
"183","MVZ:Bird:180316","13797","2-Nov-02","Deadman Creek, 4 mi S and 3.5 mi E town of June Lake",1
"184","MVZ:Bird:180317","13797","2-Nov-02","Deadman Creek, 4 mi S and 3.5 mi E town of June Lake",1
"185","MVZ:Bird:180318","13797","2-Nov-02","Deadman Creek, 4 mi S and 3.5 mi E town of June Lake",1
"186","MVZ:Bird:180319","13797","2-Nov-02","Deadman Creek, 4 mi S and 3.5 mi E town of June Lake",1
"187","MVZ:Bird:180320","13797","2-Nov-02","Deadman Creek, 4 mi S and 3.5 mi E town of June Lake",1
"188","MVZ:Bird:180321","13797","2-Nov-02","Deadman Creek, 4 mi S and 3.5 mi E town of June Lake",1
"189","MVZ:Bird:180322","13797","2-Nov-02","Deadman Creek, 4 mi S and 3.5 mi E town of June Lake",1
"190","MVZ:Bird:180323","13797","2-Nov-02","Deadman Creek, 4 mi S and 3.5 mi E town of June Lake",1
"191","MVZ:Bird:180324","13797","2-Nov-02","Deadman Creek, 4 mi S and 3.5 mi E town of June Lake",1
"192","MVZ:Bird:180325","13797","2-Nov-02","Deadman Creek, 4 mi S and 3.5 mi E town of June Lake",1
"193","MVZ:Bird:180326","13797","2-Nov-02","Deadman Creek, 4 mi S and 3.5 mi E town of June Lake",1
"194","MVZ:Bird:180327","13797","2-Nov-02","Deadman Creek, 4 mi S and 3.5 mi E town of June Lake",1
"195","MVZ:Bird:180358","13807","26-Mar-03","Corner of First Street and Daggett, San Jose",1
"196","MVZ:Bird:180359","13807","26-Mar-03","Corner of First Street and Daggett, San Jose",1
"197","MVZ:Bird:180397","13827","18-Apr-03","1 block W of courthouse in downtown Quincy",1
"198","MVZ:Bird:180399","13853","30-Aug-03","bluff between Fort Cronkite and Tennessee Valley, Marin Headlands",1
"199","MVZ:Bird:180402","13856","3-Jul-03","Long Field, Hastings Natural History Reservation",1
"200","MVZ:Bird:180403","13857","18-Jul-03","Junction of Hall Drive and Donald Drive, Orinda",1
"201","MVZ:Bird:180409","13817","12-Jun-03","Crane Flat Campground, Yosemite National Park",1
"202","MVZ:Bird:180411","13781","24-Feb-03","Hastings Natural History Reservation",1
"203","MVZ:Bird:180413","13781","28-Aug-02","Hastings Natural History Reservation",1
"204","MVZ:Bird:180414","13781","19-Oct-01","Hastings Natural History Reservation",1
"205","MVZ:Bird:180415","13781","8-Mar-03","Finch Creek, near entrance to Hastings Natural History Reservation",1
"206","MVZ:Bird:180416","13781","9-Mar-03","Robertson Creek, Hastings Natural History Reservation",1
"207","MVZ:Bird:180417","13781","8-Mar-03","Finch Creek, near entrance to Hastings Natural History Reservation",1
"208","MVZ:Bird:180418","13781","8-Mar-03","Finch Creek, near entrance to Hastings Natural History Reservation",1
"209","MVZ:Bird:180419","13781","8-Mar-03","Finch Creek, near entrance to Hastings Natural History Reservation",1
"210","MVZ:Bird:180420","13781","8-Mar-03","Finch Creek, near entrance to Hastings Natural History Reservation",1
"211","MVZ:Bird:180421","13781","9-Mar-03","Finch Creek, near entrance to Hastings Natural History Reservation",1
"212","MVZ:Bird:180422","13781","9-Mar-03","Finch Creek, near entrance to Hastings Natural History Reservation",1
"213","MVZ:Bird:180423","13781","7-Mar-03","Lower Barn, Hastings Natural History Reservation",1
"214","MVZ:Bird:180424","13781","8-Mar-03","Finch Creek, near entrance to Hastings Natural History Reservation",1
"215","MVZ:Bird:180425","13781","9-Mar-03","junction of Carmel Valley Rd. and Tassajara Rd., Carmel Valley",1
"216","MVZ:Bird:180432","13559","11-Feb-01","Corner of Liberty and Stockton streets, El Cerrito",1
"217","MVZ:Bird:180434","13559","27-Aug-01","Knightsen Ave. and Sellers Ave., Knightsen",1
"218","MVZ:Bird:180436","13559","8-Nov-01","Berkeley Marina at I-80, Berkeley",1
"219","MVZ:Bird:180443","13559","23-Jul-01","baseball field across from Pleasant Hill Middle School between Santa Barbara Drive and Hawthorne Drive, Pleasant Hill",1
"220","MVZ:Bird:180444","13559","14-Nov-01","Kirker Pass and Clayton Rd., Clayton",1
"221","MVZ:Bird:180445","13559","5-Aug-01","two doors W of 364 Cordell Drive, Danville",1
"222","MVZ:Bird:180446","13559","18-Jun-01","Central Ave., Alameda",1
"223","MVZ:Bird:180451","13559","24-Jun-01","Foothill Drive and Longview Drive, Pleasanton",1
"224","MVZ:Bird:180453","13559","12-Dec-01","3300 block of Pacheco Blvd., Martinez",1
"225","MVZ:Bird:180454","13559","11-Aug-01","San Francisco Bay, Richmond",1
"226","MVZ:Bird:180457","13559","19-May-01","Near Andronico's Market, Danville",1
"227","MVZ:Bird:180462","13559","7-May-01","Regency Drive and Marsh Creek, Clayton",1
"228","MVZ:Bird:180465","13559","13-Jan-01","Creek next to Winter Court, Pleasanton",1
"229","MVZ:Bird:180466","13559","2-Jul-01","Benicia Industrial Park, Benicia",1
"230","MVZ:Bird:180469","13559","5-Aug-01","Morgan Territory Rd., Dublin",1
"231","MVZ:Bird:180470","13559","14-Mar-01","Southern Pacific Yard, City of Alameda",1
"232","MVZ:Bird:180472","13559","23-Apr-01","Meadow Home School Detroit Ave., Concord",1
"233","MVZ:Bird:180479","13559","21-Apr-01","Washington at Fillmore, San Francisco",1
"234","MVZ:Bird:180485","13559","20-Jul-01","East Bay Area (of the San Francisco Bay Area)",1
"235","MVZ:Bird:180486","13559","8-May-01","Lime Ridge Open Space, Walnut Creek",1
"236","MVZ:Bird:180495","13559","12-Sep-01","Cardinale Trail, Clayton",1
"237","MVZ:Bird:180497","13559","11-May-01","Haven Street, Martinez",1
"238","MVZ:Bird:180502","13559","10-May-01","Lone Tree Way, Antioch",1
"239","MVZ:Bird:180505","13559","4-May-01","Mangini Farm on Pleasant Hill Rd., Pleasant Hill",1
"240","MVZ:Bird:180506","13559","21-May-01","N Main Street (on sidewalk), Walnut Creek",1
"241","MVZ:Bird:180507","13559","21-May-01","Mitchell Drive and Shadelands, Walnut Creek",1
"242","MVZ:Bird:180509","13559","28-Apr-01","Meadow Lark, Danville",1
"243","MVZ:Bird:180510","13559","14-May-01","Sycamore Valley Rd. and San Ramon Valley Blvd., Danville",1
"244","MVZ:Bird:180512","13559","2-Jun-01","Park by E 21st and E 22nd streets, Oakland",1
"245","MVZ:Bird:180514","13559","6-May-01","Landing Parkway at Fremont Blvd., Fremont",1
"246","MVZ:Bird:180519","13559","13-May-01","Intersection of Gregory Lane and Cleaveland, Pleasant Hill",1
"247","MVZ:Bird:180523","13559","14-Jul-01","Clayton Valley Shopping Center, Clayton",1
"248","MVZ:Bird:180536","13876","10-Nov-03","junction of Rd. 500 and Rd. 520, Jackson Demonstration State Forest",1
"249","MVZ:Bird:180537","13876","10-Nov-03","junction of Rd. 500 and Rd. 520, Jackson Demonstration State Forest",1
"250","MVZ:Bird:180538","13876","10-Nov-03","junction of Rd. 500 and Rd. 520, Jackson Demonstration State Forest",1
"251","MVZ:Bird:180539","13876","10-Nov-03","junction of Rd. 500 and Rd. 520, Jackson Demonstration State Forest",1
"252","MVZ:Bird:180540","13876","10-Nov-03","junction of Rd. 500 and Rd. 520, Jackson Demonstration State Forest",1
"253","MVZ:Bird:180541","13876","10-Nov-03","junction of Rd. 500 and Rd. 520, Jackson Demonstration State Forest",1
"254","MVZ:Bird:180542","13876","10-Nov-03","junction of Rd. 500 and Rd. 520, Jackson Demonstration State Forest",1
"255","MVZ:Bird:180543","13876","10-Nov-03","junction of Rd. 500 and Rd. 520, Jackson Demonstration State Forest",1
"256","MVZ:Bird:180544","13876","11-Nov-03","junction of Rd. 500 and Rd. 520, Jackson Demonstration State Forest",1
"257","MVZ:Bird:180545","13876","11-Nov-03","junction of Rd. 500 and Rd. 520, Jackson Demonstration State Forest",1
"258","MVZ:Bird:180546","13876","10-Nov-03","junction of Rd. 500 and Rd. 520, Jackson Demonstration State Forest",1
"259","MVZ:Bird:180547","13876","10-Nov-03","junction of Rd. 500 and Rd. 520, Jackson Demonstration State Forest",1
"260","MVZ:Bird:180635","13883","9-May-03","Mines Rd., 1 mi from junction with Tesla Rd.",1
"261","MVZ:Bird:180636","13883","9-May-03","Mines Rd., 1 mi from junction with Tesla Rd.",1
